id,Title,Repatriated?,Year Returned,Sending Country,Receiving Country,Object Materials,Country of Origin,Description of Object(s),Object Type,Culture,Size,Findspot,Date Looted,Current Location,Dealer,Year Acquired,Museum Name
1212,Michael Steinhardt Collection,Yes,2021,USA,Italy | Greece | Türkiye | Lebanon | Bulgaria | Egypt | Syria | Libya,Various,Italy | Lebanon | Greece | Türkiye | Syria | Israel | Jordan | Egypt | Bulgaria,"Among the highlights of the seized objects: <br /><br />A rare Greek kouros, purchased on November 17, 2000 directly from the antiquities trafficker Robert Hecht for USD $2,348,500. Hecht included pictures of the sculpture soon after it was looted.<br /><br />A situla, which surfaced on the art market in October 1995, when Robin Symes sold it to the Beierwaltes for USD $320,000. In 2006, the Beierwaltes consigned it to Phoenix Ancient Art. Steinhardt purchased it in 2009 from Phoenix Ancient Art for USD $250,000. In Symes' archives, prosecutors found photos of the same situla taken in 1995 by the Basel-based Dieter Widmer. It had no handle and was still covered in dirt and encrustations, signs of recent looting. Today valued at USD $320,000, the looted situla will be returned to Italy.<br /><br />An Assyrian Gold Bowl that Svyatoslav (aka Slav) Konkin, a Russian antiquities dealer, hand carried on a flight from Hong Kong to Newark NJ. He was detained by authorities but allowed to deliver the bowl to Steinhardt, who purchased it in July 2000 for USD $150,000. Prosecutors say the bowl had been looted in Nimrud, Iraq, where similar examples have been found. Similar gold objects were stolen from the Baghdad Museum, while others were looted and sold by ISIS. It will be returned to Iraq.<br /><br />A Veiled Head of a Woman that surfaced on the art market on November 10, 2000, when Steinhardt purchased it from Michael Ward for USD $1,200,000. Ward noted it was ""possibly from North Africa,""   had ""earthy deposit"" and a ""clean break"" on the neck. Prosecutors say the bust was looted from a tomb in the ancient city of Cyrene, in modern day Libya. Excavations there shut down during unrest in 1999, and looters began sacking the city's ancient tombs.<br /><br />A Togate Figure that Phoenix Ancient Art sold to Steinhardt for USD $800,000 in June 1993, stating it was from ""Perusia [sic], Umbria, Italy."" Steinhardt later consigned it back to Phoenix for sale. Polaroids found in the archives of Giacomo Medici show the togate with a companion figure, both broken and dirt-encrusted sitting atop an Italian newspaper. The Etruscan inscription along the base suggests it was indeed likely found near Perugia.<br /><br />An Orpheus Mosaic that first surfaced on the art market in 1991, when Robert Haber shipped it from Geneva to the United States for Steinhardt. Steinhardt paid Haber USD $440,000 for the mosaic in Oct 1991 and had it sent to California for restoration. The restorers noted it had been crudely ""cut into five sections in order to simplify lifting it from its original site,"" a Roman villa in Sicily. A polaroid of the mosaic sent to Haber by Geneva shipper Mat Securitas shows it before restoration.<br /><br />A Griffin Cauldron with Stand that Steinhardt purchased in April 2003 from Robert Hecht with no prior provenance for USD $475,000. Other records suggest he paid USD $3,000,000 for the completed piece, which had surfaced in fragments. Photos recovered from Hecht show the cauldron soon after it emerged from a tomb in Lazio, dirt encrusted and broken in two.<br /><br />The Ercolano Fresco, showing Hercules as an infant strangling a snake. This fresco was looted from Herculaneum in 1995, and Steinhardt purchased the fresco for $650,000. The fresco is currently valued at $1 million.<br /><br />(It looks like 51 of these items went back to Italy, remaining are from other countries: https://www.documentcloud.org/documents/24244920-2023-06-27-15-51-2021-12-13-to-steinhardt-178p-o/)<br /><br />Remaining:<br />Returned to Bulgaria 1 <br />Returned to Libya 1 <br />Returned to Iraq 2 <br />Returned to Egypt 9 <br />Returned to Jordan 9 <br />Returned to Israel 37 <br />Returned to Syria 4 <br />Returned to Türkiye 14 <br />Returned to Greece 47 <br />Returned to Lebanon 2",Various,Various,,Various,,Various,Giacomo Medici  | Gianfranco Becchina | Edoardo Almagià | Robin Symes | Robert Hecht | Edward and Samuel Merrin | Robert Haber | Eugene Alexander | Fritz and Harry Bürki | Gil Chaya | Rafi Brown | Pasquale Camera | George Ortiz | Noriyoshi Horiuchi | Michael Ward | Svyatoslav Konkin | Axel Gordian Weber,,
1213,Gilgamesh Dream Tablet,Yes,2021,USA,Iraq,Stone,Iraq,"3,600-year-old cuneiform tablet with part of the Sumerian poem, the Epic of Gilgamesh, renowned as one of the earliest works of literature on record. 
Dimensions: 6 1/4 x 4 3/4 in (16 x 12 cm) ",Tablet,Sumerian,2,Unknown,Unknown,Iraq Museum ,Ghassan Rihani | American dealer,,Museum of the Bible
1214,Georges Lotfi Collection,Yes,2023,USA,Lebanon | Syria,Various,Lebanon | Syria | Libya,"The nine mosaics returned to Lebanon are:

- A mosaic depicting the Earth Goddess Gaia, tracing its origins back to the 5th century BCE.

- A mosaic of the Autumn season, hailing from the 5th century BCE.

- A mosaic representing the Summer season, dating back to the 5th century BCE.

- A mosaic portraying the divine couple Neptune and his wife Amphitrite, riding a chariot, crafted during the 3rd century BCE.

- A mosaic of a giant from the 5th century BCE.

- A mosaic showcasing the athlete Dionysus, meticulously composed of hundreds of tiny, multicolored stone fragments, dating back to the 3rd century BCE.

- A mosaic illustrating King Lycurgus of Thrace in the act of vanquishing Ambrosia, from the 5th century BCE.

- A mosaic of Dionysus as a child riding a lion, accompanied by his companions, originating from the 3rd century BCE.

- Another mosaic featuring Dionysus, this time alongside his mentor, from the 5th century BCE.","Various | Visual Work – paintings, frescos, mosaics",Various,4,Various,"For the mosaics, 1987 or earlier","Beirut, Lebanon",Georges Lotfi | Mohammad Al Haddad | Farid Ziadé,,
1221,Adana Ulu Camii Iznik Tiles,Yes,2017; 2021; 2022; 2025; 2026,UK | Netherlands | Spain,Türkiye,Ceramic,Türkiye,Iznik tiles and tile panel,"Architecture – antefixes, doors, sconces, friezes",Ottoman Empire,1,Adana Ulu Camii,2002 & 2003,"Ankara Ethnography Museum, Ankara, Türkiye",,,
1234,Symes Artifacts from Cyrene ,Yes,2023,USA,Libya,Marble,Libya,"An over life-size female marble bust, likely part of a larger sculpture, showing a woman wearing a veil, with coiffed hair and approximately half of her torso. Dated to the second half of the 4th century BCE.

Marble face of a Ptolemaic queen, measuring 11.5 inches tall, with significant damage to the face. Dated to the 3rd century BCE. ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Greek,2,Cyrene,Late 1980s to 1990s,Libya,Robin Symes,,
1245,The Saarbruken Bronze,Yes,2002,Germany,Greece,Bronze,Greece,"A bronze Greek statue depicting a naked boy or young athlete dating from the early Roman period (1st century BCE to early 1st century CE). It is missing its hands and part of one leg, stands 1.49m tall and weighs 72kg. ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Greek,4,Submerged near the western Greek port of Preveza,1998 or earlier,"Athens, National Archaeological Museum No Inv. X26087",Christoph F. Leon,,J. Paul Getty Museum
1246,The Sevso Treasure,Yes,2014 | 2017,UK,Hungary,Silver,Hungary,"14 silver objects (plates, platters, chalices, etc.)",Various,Roman,2,"Allegedly Polgárdi, close to Balaton",1970s,Hungarian National Museum,Unknown London sellers,,
1247,Eid Mar Coin,Yes,2023,USA,Greece,Gold,Italy,Roman gold coin minted to commemorate the assassination of Julius Caesar. Weight: approximately 8 grams.,Currency,Roman,1,Unknown,Unknown,Greece,Richard Beale | Italo Vecchi,,
1248,Sicily Naxos Coin,Yes,2023,USA,Italy,Silver,Italy,"The Sicily Naxos Coin, a silver tetradrachm, minted circa 430 BCE in the Greek colony of Naxos, in eastern Sicily. 
Dimensions: diameter 28mm, height 8mm; weight: 17.33g.",Currency,Greek,1,Naxos,Unknown,,Richard Beale | Italo Vecchi,,
1256,Byzantine Mosaic of Hercules' 11th Labor,Yes,2016,USA,Syria,Stone | Other,Syria,"a 1 ton, 18-foot long Byzantine mosaic of Hercules’ 11th labor","Visual Work – paintings, frescos, mosaics",Byzantine,5,"Idlib, Syria",2010 or after,US Attorney's office pending return to Syria,Mohamad Yassin Alcharihi,,
1257,Zeytun Gospel Pages,On indefinite loan,2015,USA,Armenia,Other,Armenia,8 Canon table folios removed from the Zeyt'un Gospels,"Information Artifact – books, seals, plaques, scrolls",Armenian Kingdom of Celicia,2,"Church of Holy Mother of God, Zeyt'un, Türkiye",late 1800s,J. Paul Getty Museum,Gil Atamian,1993,J. Paul Getty Museum | Walters Gallery (Baltimore) | Pierpont Morgan Library (New York)
1258,Persepolis Relief,Yes,2018,USA,Iran,Limestone,Iran,An eight-inch-square piece of carved limestone that was part of a long line of soldiers depicted on a balustrade at the central building at Persepolis.,"Fragment | Architecture – antefixes, doors, sconces, friezes",Persian,2,Persepolis,1936,"Persepolis, Iran",Rupert Wace | Sam Fogg,1950 or 1951,Montreal Museum of Fine Arts
1259,Lintel from Khao Lon Temple,Yes,2021,USA,Thailand,Sandstone,Thailand,"A sandstone lintel from Khao Lon Temple in northeastern Thailand 
","Architecture – antefixes, doors, sconces, friezes",Khmer,4,Khao Lon Temple,1959 or later,Bangkok National Museum,Unnamed French dealer,1968,Asian Art Museum of San Francisco
1260,Lintel from Prasat Nong Hong,Yes,2021,USA,Thailand,Sandstone,Thailand,A sandstone lintel from Nong Hong temple in northeastern Thailand ,"Architecture – antefixes, doors, sconces, friezes",Khmer,4,"Prasat Nong Hong, Buri Ram Province, Thailand",1960s or later,Bangkok National Museum,Unnamed French dealer,1966,"Asian Art Museum, San Francisco"
1262,Sidon Bull's Head,Yes,2017,USA,Lebanon,Marble,Lebanon,"The Bull's Head dates to approximately 360 B.C. and was excavated from the Temple of Eshmun in Sidon, Lebanon, by Maurice Dunand as part of a state sponsored excavation, according to court filings. Mr. Dunand, a French archaeologist specializing in the ancient Near East who had begun excavating Jubayl/Byblos in 1924 and Eshmun in 1963, served as Director of the mission 'Archeologique Francaise' in Lebanon. At the time of its excavation, the Bull's Head (C-17) was photographed and given inventory catalogue number E912/8- 12.",Sculpture,Greek,3,"Temple of Eshmun in Sidon, Lebanon",1981,Lebanon ,George Lotfi | Frieda Tchacos | Robin Symes | Hicham Aboutaam,2010,Metropolitan Museum of Art
1263,The Kushan Buddha,Yes,2016,Australia,India,Sandstone,India,"A Kushan-era sculpture of the Seated Buddha, sandstone, missing its right hand, part of its right shoulder, and approximately one third of its circular backrest. ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Kushan Empire,4,"Uttar Pradesh, India",mid-1960s or earlier,India,Vaman Ghiya | Nancy Wiener,2007,National Gallery of Australia
1264,Steve Green Collection ,Yes,2017,USA,Iraq,Clay | Stone,Iraq,"A large number of clay and stone antiquities, including cuneiform tablets, bricks, bullae, envelope seals, and cylinder seals.","Information Artifact – books, seals, plaques, scrolls",Mesopotamia,1,Various,,"Iraq Museum, Baghdad",Alaa (Alan) Baidun  | Ibrahim (Nabil) Hroub  | Yosef Hroub  | Taher Barakat ,2010,Museum of the Bible
1274,Head of King Sargon II ,Yes,2015,USA,Iraq,Limestone,Iraq,"Limestone head dating to 713 BCE, depicting Assyrian King Sargon II, and originally part of a statue of the King represented as a Lamassu or a winged bull.",Sculpture,,3,"Palace of Sargon II in Nineveh, a town on the Tigris River north of Baghdad; looted around 2008.

",2008,,Hassan Fazeli,,
1284,Idealized Greek King from Bubon,Yes,2023,USA,Türkiye,Bronze,Türkiye,"Bronze head of a man with incised beard and mustache 
Bronze right leg of a man 
",Sculpture,Roman,2,"Bubon, Türkiye",circa 1965,,Jerome Eisenberg,"Head: 2003 
Leg: 1968 ",Boston Museum of Fine Arts
1670,The Dancing Shiva,Yes,2014,Australia,India,Bronze,India,"This 11th Century Chola bronze shows Shiva Natarajah. Kapoor described  as ""the largest, most significant Chola Period sculpture of this subject to appear on the market in a generation."" ",Sculpture,Chola,3,"Sivan Temple, Sree Puranthan Village, Tamil Nadu, India",2006,India,Subhash Kapoor,2008,National Gallery of Australia
1689,Antefix from Pompeii,Yes,2014,Canada,Italy,Terracotta,Italy,Terracotta  antefix with a mask head,Architectural Element,Roman,2,Pompeii,1964,Pompeii,,,
1697,"Old Summer Palace Zodiac Fountainheads: Ox, Monkey and Tiger",Yes,2000,China,China,Bronze,China,"Sculpted bronze heads of a monkey (18 in.), ox (17 in.) and tiger","Sculpture – statues, carvings, bronzes, reliefs, figurines",Qing Dynasty (China),2,"Yuanmingyuan, or Old Summer Palace in Beijing",1860,Poly Art Museum in Beijing,,,
1728,Qing Dynasty Bronze Rabbit and Rat Fountainheads,Yes,2013,France,China,Bronze,China,Two bronze fountainheads of a rabbit (45 x 35 cm) and a rat (30 x 40 cm),Ornament,Qing Dynasty Chinese ,2,,1860,National Museum of China,,,
1743,Cycladic standing female figure and frying pan,Yes,2014,Germany,Greece,Marble,Greece,"Cycladic standing female figure, marble (89 cm)

Cycladic ""frying pan"",  chlorite schist stone (15.9 cm height, 16.2 cm diameter)","Sculpture – statues, carvings, bronzes, reliefs, figurines",Cycladic ,3,,,National Archaeological Museum in Athens,,1975,Baden State Museum (Das Badische Landesmuseum Karlsruhe)
1752,Gandharan Relief from Afghanistan's National Museum ,Yes,2012,Germany,Afghanistan,Limestone,Afghanistan,One-foot-tall Gandharan limestone relief depicting eight figures. ,Architectural Element,Gandhara,3,,1990s,"Kabul, Afghanistan",,,National Museum of Afghanistan
1758,Bronze Statue of Dionysus ,Yes,2002,UK,Türkiye,Bronze,Türkiye,"Bronze Statue of Dionysus (right arm missing) ,1.36 meters  h. ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,4,,,"Museum of Anatolian Civilizations, Ankara",,,
1759,Headless Sculptures of Artemis and Apollo,Yes,2008,Greece,Albania,Marble,Albania,"A. Headless Sculpture of Artemis, marble (approx. 1.2 meters), 2nd century BCE

B. Headless Sculpture of Apollo, marble (approx. 1.2 meters), 2nd century CE","Sculpture – statues, carvings, bronzes, reliefs, figurines",Greek,3,"Phoenice,  Albania | Butrint, Albania",1991,Butrint Archaeological Museum,,,Archaeological Museum of Pireus
1765,Axum Obelisk,Yes,2005,Italy,Ethiopia,Stone,Ethiopia,"A 17ft carved graphite pillar, one of six smaller obelisks that surrounded a central megalith in Axum's central plaza. It was removed and repatriated in three multi-ton pieces. ",Obelisk,Kingdom of Axum,5,"Axum, Ethiopia",1937,"Aksum, Tigray region, Ethiopia",,1937,
1785,Shroud of Gothenburg,Yes,2014 | 2010-2021,Sweden,Peru,Textile,Peru,"88 ancient Paracas textiles fragments, as well as the unique Calendar textile. ","Textile – fabrics, clothing, fiber-based objects",Paracas,2,Paracas Peninsula,1930s,"Archaeology and Anthropology Museum in Pueblo Libre, Peru",,1935,Museum of World Culture in Gothenburg
1848,Pandava,Yes,2014,USA,Cambodia,Sandstone,Cambodia,A 10th-century sandstone scultpure of a mythological figure known as Pandava. The sculpture is missing its lower half and portions of its hands. The statue is from Khmer's Koh Ker style dating to the 10th Century CE. ,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Khmer,5,"Prasat Chen Temple, Koh Ker, Cambodia",1970s,,Douglas Latchford,,
1850,Stela Fragment from El Peru,Yes,1999,USA,Guatemala,Limestone,Guatemala,The central section of a limestone carved Mayan stela depicting the Mayan Sun God (Kinich Ahau) holding the head of an enemy. ,"Monument – obelisks, stelae, tombstones, totem poles | Fragment",Maya,3,"El Peru, Peten region, Guatemala",1970 or earlier,"National Museum of Mayan Art: Archeology and Ethnology, Guatemala City, Guatemala",,,
1892,The Aubin Tonalamatl,Yes,1982,France,Mexico,Wood | Various,Mexico,A paperbark codex (book) of several folios (pages) depicting a calendar used by priests to mark religious rituals. ,"Information Artifact – books, seals, plaques, scrolls",Aztec,2,"Tlaxcala region, Mexico",No later than the mid-1700s C.E. | Stolen in 1982,"Biblioteca del Instituto Nacional de Antropología e Historia, Mexico City",,1982,Bibliotheque Nationale (France)
1939,G’psgolox Totem Pole,Yes,2006,Sweden,Canada | Indigenous or sovereign nation/tribe,Wood,Canada | Indigenous or sovereign nation/tribe,"Wooden mortuary totem pole depicting the spirit Tsooda, the spirit Asoalget, and an underwater grizzly bear","Monument – obelisks, stelae, tombstones, totem poles | Funerary Object – coffins, mummy portraits, grave goods",Haisla,5,"Mis'kusa, Kitlope Valley, British Columbia, Canada",1928,"Unknown graveyard, Kitlope Valley, Canada.",,1929,The Museum of Ethnography (Sweden)
1941,Head of Asclepius,Yes,2009,Italy,Albania,Marble,Albania,"A sculpted head of man with long curly hair and a beard, possibly Asclepius or Zeus.  ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Greek,2,"Butrint, Albania",1991,"National Museum of History, Tirana, Albania",,,
2025,Three Roman Heads from Butrint,Yes,2003,Greece,Albania,Marble,Albania,Three Roman-era marble heads,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,2,"Butrint, Albania",1991,"Archaeological Museum of Butrint, Albania",,,
2048,Nazlet Khater Man,Yes,2015,Belgium,Egypt,Human Remains,Egypt,"A 35,000 year-old adolescent male skeleton dubbed ""Nazlet Khater Man""",Human Remains,Paleolithic Period,4,"Nazlet Khater, Egypt",Scientifically excavated in 1980,"National Museum of Egyptian Civilization in Fustat, Old Cairo",,1980,
2063,Michael Ward Collection,Yes,2023,USA,Italy | Greece | Türkiye,,Türkiye | Greece | Italy,"19 from Greece
16 from Italy
5 from Turkey",,Various,,Unknown,Unknown,,Michael Ward,,
2068,Stele of Lakshmi-Narayana,Yes,2021,USA,Nepal,Stone,Nepal,An stone scuplture of Lakshmi-Narayana depicting two deities joined together: Narayana (an avatar of Vishnu) and his consort Lakshmi.,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Thakuri Dynasty,2,"Patan, Nepal",1984,"Kathmandu, Nepal",,2007 (pledged),Dallas Museum of Art
2071,Rubin Bhairava Mask,Yes,2023,USA,Nepal,Copper | Gold Leaf,Nepal,"Gilt copper Bhairava Mask from the 16th Century and used during Nepal's annual Indra Jātrā festival.
Dimensions: 28 x 27 1/4 x 19 in.","Sculpture – statues, carvings, bronzes, reliefs, figurines",,3,"Dolakha,  Nepal",1994,,,2005,
2072,Dallas Bhairava Mask,Yes,2023,USA,Nepal,Copper | Other,Nepal,"A gilt copper Bhairava mask adorned with gemstones, dating circa 16th century CE. ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Possibly Malla Dynasty. Not confirmed.,2,"Dolakha, Nepal",1994,"Dolakha, Nepal",,Possibly 1995,Dallas Museum of Art
2075,Bronze Durga,Yes,2023,UK,Vietnam,Bronze,Vietnam,"7th Century bronze Durga, a Hindu goddess, from Mỹ Son Sanctuary, central Vietnam. 
Dimensions: h 6 feet (2 meters); weight: more than 500 pounds (250 kilograms).",Sculpture,Champa Kingdom,4,"Mỹ Sơn Sanctuary,  central province of Quảng Nam, Vietnam.",2008,,Douglas Latchford,,
2078,Kneeling Ruler,Yes,2023,USA,Egypt,Bronze,Egypt,"An Egyptian bronze figurine of a kneeling ruler or priest. Its height is 16.3 cm from the top of the head to the balls of the feet and base of the knees, its support points. The tops of the legs are still corroded and the right arm is missing.
","Sculpture – statues, carvings, bronzes, reliefs, figurines","Third Intermediate Period, Pharaonic Egyptian",2,Unknown,2005 or before,"National Museum, Cairo, Egypt",Georges Lotfi,2006,Metropolitan Museum of Art
2080,Veiled Head of a Lady,Yes,2022,USA,Libya,Marble,Libya,"An intricate marble sculpture dating to approximately the 4th century BCE, measuring 12 inches tall.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Greek,2,Necropolis of Cyrene,,"Possibly Cyrene Museum,  Shahhat, Libya",,1997,Metropolitan Museum of Art
2082,Met Benin Bronzes,Yes,2021,USA,Nigeria,Brass | Bronze,Nigeria,"Two 16th-century brass plaques created at the Court of Benin, and a brass head produced in Ife around the 14th century. 

","Information Artifact – books, seals, plaques, scrolls",Benin | Ife,2,Looted by the British army in an 1897 raid on Benin City and its Royal Palace,1897,"Nigerian National Museum, Lagos",,1991,Metropolitan Museum of Art | British Museum
2090,Portrait Head of Caracalla,Yes,2023,USA,Türkiye,Bronze,Türkiye,"A fragmentary bronze portrait bust of the emperor Caracalla. The preserved portion shows the face, left ear, some of the hair and beard, and some of the neck, all with a uniform green patina. The preserved portion is approximately 21.6cm tall.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman ,2,Bubon,1967,Antalya Museum,Robert Hecht ,1989,Metropolitan Museum of Art
2091,Septimius Severus,Yes,2023,USA,Türkiye,Bronze,Türkiye,A headless bronze statue of the Roman emperor Septimius Severus,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,5,"Bubon (Cibyratis region, Burdur Province, Türkiye)",May 1967,Antalya Archeological Museum,Charles Lipson | Robert Hecht,2011,Metropolitan Museum of Art | Boston Museum of Fine Art
2092,Perge Theater Head,Yes,2023,USA,Türkiye,Marble,Türkiye,"A marble Theater Head from Perge, Türkiye, dating to 290 CE.
","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,3,"Perge, Türkiye",1960s,Antalya Museum,,2012,Metropolitan Museum of Art
2095,Mummy of Ramesses I,Yes,2003,USA,Egypt,Human Remains,Egypt,A nearly complete embalmed mummy believed to be Pharaoh Ramesses I,"Human Remains – skeletons, mummies","New Kingdom, Pharaonic Egyptian",4,"Valley of the Kings tomb KV16 near Luxor, Egypt",1860s,Luxor Museum,,1999 (Carlos Museum),Niagara Falls Museum  | Carlos Museum
2119,Fowler Ashanti Returns,Yes,2024,USA,Ghana,Various,Ghana,"A ""sika mena"" (elephant tail whisk), two royal stool ornaments, a gorget (royal necklace) or stool ornament, bracelets and/or anklets, and an ""asipim"" (ornamental chair).","Jewelry – bracelets, rings, personal decoration | Other",Asante,1 | 2,Asante City (today's Kumasi),1874,"Manhyia Palace, Kumasi, Ghana",,1965,Fowler Museum (UCLA)
2121,Chugach Grave Goods,Yes,2018,Germany,USA | Indigenous or sovereign nation/tribe,Various,USA | Indigenous or sovereign nation/tribe,"Chugach grave goods, including several masks, a wooden idol and a baby basket.","Funerary Object – coffins, mummy portraits, grave goods",Chugash People (Alaska),2,"Kenai Peninsula, Alaska",1882 - 1884,"Local community centers and museums, Chugach, Alaska",Johan Adrian Jacobsen,1800s,Berlin’s Ethnographic Museum
2131,Nine Gandharan Heads and a Torso,Yes,2019,UK,Afghanistan,Clay | Stone,Afghanistan,"10 Gandharan sculptures, comprising nine individual clay heads from different sculptures as well as one headless grey schist torso of the Bodhisattva, were likely from c. 4th century C.E. Buddhist monasteries, all pre-dating the adoption of Islam.  ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Gandharan,3,,c. 2001 C.E. or before,National Museum of Afghanistan,,2002,British Museum
2132,Douglas Latchford Collection ,Yes,2021,UK,Cambodia | Vietnam,Various,Cambodia | Vietnam,"Various medium-large sized partial or whole sandstone sculptures of deities or royals from pre-Angkor and Angkorian Khmer Cambodia. Other items are jewelry and adornments associated with the sculptures, Cham sculpture from Vietnam (at least one), and other smaller items. ","Sculpture – statues, carvings, bronzes, reliefs, figurines | Jewelry – bracelets, rings, personal decoration",Khmer,5,Various,Mostly 1975 or earlier,"National Museum of Cambodia, Phnom Penh",Douglas Latchford ,,
2133,"The ""Kim Kardashian"" Forfeiture",Yes,2021,USA,Italy,Marble,Italy,"A partial Roman statue made of marble, identified as a Fragment of Myron's Samian, c. 1st – 2nd century A.D.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman ,4,,2011 or earlier,"Rome, Italy",Axel Vervoordt,,
2134,Skanda on a Peacock,Yes,2021,USA,Cambodia,Sandstone,Cambodia,"A sandstone sculpture depicting the Skanda, venerated as a god of war in India, sitting astride a peacock. ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Khmer,4,"Prasat Krachap temple at Koh Ker, Cambodia",September 1997,"Phnom Penh, Cambodia",Douglas Latchford,2000,
2139,Ivory Mask of Apollo,Yes,2003,UK,Italy,Other,Italy,A Chryselephantine (silver and ivory) mask depicting Apollo from the 1st century BCE,"Jewelry – bracelets, rings, personal decoration | Sculpture – statues, carvings, bronzes, reliefs, figurines",Greek,2,"Baths of Claudius, north of Rome, Italy",1994,National Museum of Rome,Nino Savoca | Robin Symes,,
2144,"32 Papyri Fragments Stolen From the Egyptian
Exploration Society",Yes,2021,USA,UK,Other,Egypt | UK,,"Information Artifact – books, seals, plaques, scrolls",,1,"Oxyrhynchus, Egypt",,Oxford University's Sackler Classics Library,Dirk Obbink,2010-2013,Museum of the Bible
2145,Neil Kingsbury Collection,Yes,2014,UK,Egypt,Granite | Limestone,Egypt,"•	Part of a red granite inscription measuring 22.8 cm x 14.8 cm depicting a southern captive which was part of a statue base of Amenhotep III discovered by the German mission working in Kom El Hitan in Luxor.
•	A 12 cm coloured limestone cobra's head with sun disk between bull horns and behind it, a lotus flower. It is dated to New Kingdom.
•	A 6.7 cm bust from the Middle Kingdom showing a man with a long wig.
•	A limestone statue head of a woman wearing a short wig dated to New Kingdom and measuring approx. 9 cm.
•	A part of a limestone relief, dated to New Kingdom, measuring 18.4 cm x 14.6 cm showing a person standing with his hand on his chest. 
•	A limestone relief dated to New Kingdom measuring 17 cm x 9.8 cm showing a person wearing a long wig with traces of red and yellow colours. ","Sculpture – statues, carvings, bronzes, reliefs, figurines | Fragment",Egyptian,1 | 2,One of the objects was excavated at King Amenhotep III temple in Thebes in 2000 and later stolen from storage.,2000,Egypt,"Mohammed (last name unknown), owner of a series of souvenir shops in Luxor",,
2148,Varaha Rescuing the Earth,Yes,2016,USA,India,Stone,India,"A phyllite stele of a Varaha rescuing the earth (the ""Stele ofVaraha""), dated to the 9th -10 th century, measuring approximately 46 inches by 22.75 inches.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Pala Dynasty,3,Unknown,1996 or earlier,India,Subhash Kapoor,2001,Toledo Museum of Art
2149,Kingfisher Fort Headdress,Yes,2011,USA,USA | Indigenous or sovereign nation/tribe,Various,USA | Indigenous or sovereign nation/tribe,A Kingfisher Fort Headdress from the late 19th – early 20th century,"Religious Work – crucifixes, shrine objects, icons, religious texts",The Lúkaaxh.ádi clan of the Tlingit tribe of Alaska,2,,,,Earl Stendahl,1955 (acquired by the VMFA from the PAM),Virginia Museum of Fine Art | Portland Art Museum
2150,Icklingham Bronzes,Yes,1993,USA,UK,Silver | Bronze,UK,"Sixteen partial or complete cast bronze busts of various Roman rulers and nobility, including a small leopard figurine.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Romano-British,2,"Icklingham, England",1981,British Museum,Torkom Demirjian,1993,British Museum
2151,Chalcatzingo Monument 9,Yes,2023,USA,Mexico,Stone,Mexico,Monument 9—a large-format piece measuring 1.8 meters in height and 1.5 meters in width and weighing approximately one ton— dates from the Middle Preclassic period (800-400 BC),"Monument – obelisks, stelae, tombstones, totem poles",Olmec,4,Chalcatzingo,1962,"Museo Regional de los Pueblos de Morelos, Cuernavaca, Mexico",,,
